,title,filename,question,sentence,summarized_paragraph,sec_id,par_id,data_rule_1,extra_rule_1,bool_rule_1,data_rule_2,extra_rule_2,bool_rule_2,data_rule_3,extra_rule_3,bool_rule_3
479,Infinite Regress Arguments,stanford.library.sydney.edu.au/entries/infinite-regress/index.html,Markosian's maneuver is possible because in giving the rate of one process of change by what?,"markosian’s maneuver is possible because in giving the rate of one process of change by appeal to a second process, we are not saying what makes it the case that the first change occurs at the rate it does.","Markosian’s maneuver is possible because in giving the rate of one process of change by appeal to a second process, we are not saying what makes it the case that the first change occurs at the rate it does. Not that an hour of time passes while the car moves a distance of 40 miles, for that is merely a re-description of the fact in question: a way of describing the rate. In the case of time itself, defenders of the view that time passes may plausibly claim that it is simply the nature of time.",9.0,7.0,"{'software': {'name': 'GrammarBot', 'version': '4.3.1', 'apiVersion': 1, 'premium': False, 'premiumHint': ""You might be missing errors only the Premium version can find. Upgrade to see what you're missing."", 'status': ''}, 'warnings': {'incompleteResults': False}, 'language': {'name': 'English (US)', 'code': 'en-US', 'detectedLanguage': {'name': 'English (US)', 'code': 'en-US'}}, 'matches': [{'message': 'Possible spelling mistake found', 'shortMessage': 'Spelling mistake', 'replacements': [{'value': 'Marksman'}], 'offset': 0, 'length': 9, 'context': {'text': ""Markosian's maneuver is possible because in givin..."", 'offset': 0, 'length': 9}, 'sentence': ""Markosian's maneuver is possible because in giving the rate of one process of change by what?"", 'type': {'typeName': 'Other'}, 'rule': {'id': 'MORFOLOGIK_RULE_EN_US', 'description': 'Possible spelling mistake', 'issueType': 'misspelling', 'category': {'id': 'TYPOS', 'name': 'Possible Typo'}}}]}",['TYPOS'],False,"[{'token': what, 'tag': 'WP'}]",,True,"[{'text': 'Markosian', 'label': 'PERSON'}, {'text': 'one', 'label': 'CARDINAL'}]",,True
480,Infinite Regress Arguments,stanford.library.sydney.edu.au/entries/infinite-regress/index.html,What does it seem that there are infinitely descending chains of?,bliss argues that it is not necessarily a mark against infinitely descending chains of ontological dependence that it leaves this global fact—why does anything have being in the first place?—unexplained.,"Bliss argues that it is not necessarily a mark against infinitely descending chains of ontological dependence that it leaves this global fact—why does anything have being in the first place?—unexplained. She says that this is not a reason to deny the existence of the world, but to ask why it has been created in the way that it has. Bliss says that the answer is that the world was created in a way that makes it impossible to know why it was created. She argues that the question is not whether it is possible, but why it happened.",6.0,3.0,"{'software': {'name': 'GrammarBot', 'version': '4.3.1', 'apiVersion': 1, 'premium': False, 'premiumHint': ""You might be missing errors only the Premium version can find. Upgrade to see what you're missing."", 'status': ''}, 'warnings': {'incompleteResults': False}, 'language': {'name': 'English (US)', 'code': 'en-US', 'detectedLanguage': {'name': 'English (US)', 'code': 'en-US'}}, 'matches': []}",[],True,"[{'token': What, 'tag': 'WP'}]",,True,[],,False
481,Infinite Regress Arguments,stanford.library.sydney.edu.au/entries/infinite-regress/index.html,What kind of knowledge does a person have about a finite domain?,"even if we are not in the situation (discussed above in section 1.2) where we have independent knowledge that we are dealing with a finite domain, this could still be a mark against the theory.","Nolan and Cameron argue that considerations of theoretical parsimony can lead us to reject ontological infinite regresses even if such regresses are not metaphysically impossible. A theory that yields anOntological infinite regress of course thereby yields an infinite ontology. Even if we are not in the situation (discussed above in section 1.2) where we have independent knowledge that we are dealing with a finite domain, this could still be a mark against the theory. So for example, we might object to the claim that material objects are gunky. A gunky world is an ontologically extravagant world.",7.0,2.0,"{'software': {'name': 'GrammarBot', 'version': '4.3.1', 'apiVersion': 1, 'premium': False, 'premiumHint': ""You might be missing errors only the Premium version can find. Upgrade to see what you're missing."", 'status': ''}, 'warnings': {'incompleteResults': False}, 'language': {'name': 'English (US)', 'code': 'en-US', 'detectedLanguage': {'name': 'English (US)', 'code': 'en-US'}}, 'matches': []}",[],True,"[{'token': What, 'tag': 'WDT'}]",,True,[],,False
482,Infinite Regress Arguments,stanford.library.sydney.edu.au/entries/infinite-regress/index.html,What is endless if the universe is infinite?,"in other words, if the chain is endless, we seem to lack an explanation as to why anything exists at all.","Klein: In saying that \ is ontologically dependent on \ we are saying that  exists, or is the way it is, at least partly in virtue of \’s existence and/or nature. It is very plausible that in this case,   is part of the explanation of  ‘s existence/nature,’ he says. In other words, if the chain is endless, we seem to lack an explanation as to why anything exists at all. Klein: explanations of being appear to be transmissive.",8.0,6.0,"{'software': {'name': 'GrammarBot', 'version': '4.3.1', 'apiVersion': 1, 'premium': False, 'premiumHint': ""You might be missing errors only the Premium version can find. Upgrade to see what you're missing."", 'status': ''}, 'warnings': {'incompleteResults': False}, 'language': {'name': 'English (US)', 'code': 'en-US', 'detectedLanguage': {'name': 'English (US)', 'code': 'en-US'}}, 'matches': []}",[],True,"[{'token': What, 'tag': 'WP'}]",,True,[],,False
483,Infinite Regress Arguments,stanford.library.sydney.edu.au/entries/infinite-regress/index.html,"If the chain is endless , what does we lack?","in other words, if the chain is endless, we seem to lack an explanation as to why anything exists at all.","Klein: In saying that \ is ontologically dependent on \ we are saying that  exists, or is the way it is, at least partly in virtue of \’s existence and/or nature. It is very plausible that in this case,   is part of the explanation of  ‘s existence/nature,’ he says. In other words, if the chain is endless, we seem to lack an explanation as to why anything exists at all. Klein: explanations of being appear to be transmissive.",8.0,6.0,"{'software': {'name': 'GrammarBot', 'version': '4.3.1', 'apiVersion': 1, 'premium': False, 'premiumHint': ""You might be missing errors only the Premium version can find. Upgrade to see what you're missing."", 'status': ''}, 'warnings': {'incompleteResults': False}, 'language': {'name': 'English (US)', 'code': 'en-US', 'detectedLanguage': {'name': 'English (US)', 'code': 'en-US'}}, 'matches': [{'message': 'Put a space after the comma, but not before the comma', 'shortMessage': '', 'replacements': [{'value': ','}], 'offset': 23, 'length': 2, 'context': {'text': 'If the chain is endless , what does we lack?', 'offset': 23, 'length': 2}, 'sentence': 'If the chain is endless , what does we lack?', 'type': {'typeName': 'Other'}, 'rule': {'id': 'COMMA_PARENTHESIS_WHITESPACE', 'description': 'Use of whitespace before comma and before/after parentheses', 'issueType': 'whitespace', 'category': {'id': 'TYPOGRAPHY', 'name': 'Typography'}}}, {'message': 'Did you mean ""do""? \'does\' is only used for the third person singular (he/she/it).', 'shortMessage': '', 'replacements': [{'value': 'do'}], 'offset': 31, 'length': 4, 'context': {'text': 'If the chain is endless , what does we lack?', 'offset': 31, 'length': 4}, 'sentence': 'If the chain is endless , what does we lack?', 'type': {'typeName': 'Other'}, 'rule': {'id': 'DOES_YOU', 'subId': '2', 'description': 'does (do) I/you/we/they', 'issueType': 'grammar', 'category': {'id': 'GRAMMAR', 'name': 'Grammar'}}}]}","['TYPOGRAPHY', 'GRAMMAR']",True,"[{'token': what, 'tag': 'WP'}]",,True,[],,False
486,Infinite Regress Arguments,stanford.library.sydney.edu.au/entries/infinite-regress/index.html,The fact that it is justified plays no role in an explanation to a proposition that is in fact justified?,"while one must appeal in the explanation to a proposition that is in fact justified, the fact that it is justified plays no role in that explanation.","Peter Klein holds that there can be an infinite regress of justifications. Each of these infinitely many propositions are justified, but each one’s being justified, says Klein, does not hold in virtue of any other being justified. The Infinitist demands that there is an infinite justificatory sequence, but that in itself is silent as to what justification consists in. The explanation of the justification of a proposition by appeal to another justified proposition is a non-transmissive one. While one must appeal in the explanation to a proposition that is in fact justified, the fact that it is justified plays no role in that explanation.",8.0,5.0,"{'software': {'name': 'GrammarBot', 'version': '4.3.1', 'apiVersion': 1, 'premium': False, 'premiumHint': ""You might be missing errors only the Premium version can find. Upgrade to see what you're missing."", 'status': ''}, 'warnings': {'incompleteResults': False}, 'language': {'name': 'English (US)', 'code': 'en-US', 'detectedLanguage': {'name': 'English (US)', 'code': 'en-US'}}, 'matches': []}",[],True,"[{'token': that, 'tag': 'WDT'}]",,True,[],,False
489,Infinite Regress Arguments,stanford.library.sydney.edu.au/entries/infinite-regress/index.html,"If m has been present , what will be?","if we avoid the incompatibility of the three characteristics by asserting that m is present, has been future, and will be past, we are constructing a second a series, within which the first falls, in the same way in which events fall within the first.","If we avoid the incompatibility of the three characteristics by asserting that M is present, has been future, and will be past, we are constructing a second A series, within which the first falls, in the same way in which events fall within the first. You can never get rid of the contradiction, for, by the act of removing it from what is to be explained, you produce it over again in the explanation. And so the explanation is invalid. The same principle will place the third inside a fourth, and so on without end.",4.0,6.0,"{'software': {'name': 'GrammarBot', 'version': '4.3.1', 'apiVersion': 1, 'premium': False, 'premiumHint': ""You might be missing errors only the Premium version can find. Upgrade to see what you're missing."", 'status': ''}, 'warnings': {'incompleteResults': False}, 'language': {'name': 'English (US)', 'code': 'en-US', 'detectedLanguage': {'name': 'English (US)', 'code': 'en-US'}}, 'matches': [{'message': 'Put a space after the comma, but not before the comma', 'shortMessage': '', 'replacements': [{'value': ','}], 'offset': 21, 'length': 2, 'context': {'text': 'If m has been present , what will be?', 'offset': 21, 'length': 2}, 'sentence': 'If m has been present , what will be?', 'type': {'typeName': 'Other'}, 'rule': {'id': 'COMMA_PARENTHESIS_WHITESPACE', 'description': 'Use of whitespace before comma and before/after parentheses', 'issueType': 'whitespace', 'category': {'id': 'TYPOGRAPHY', 'name': 'Typography'}}}]}",['TYPOGRAPHY'],True,"[{'token': what, 'tag': 'WP'}]",,True,[],,False
490,Infinite Regress Arguments,stanford.library.sydney.edu.au/entries/infinite-regress/index.html,"What do we avoid by asserting that m is present , has been future , and will be past?","if we avoid the incompatibility of the three characteristics by asserting that m is present, has been future, and will be past, we are constructing a second a series, within which the first falls, in the same way in which events fall within the first.","If we avoid the incompatibility of the three characteristics by asserting that M is present, has been future, and will be past, we are constructing a second A series, within which the first falls, in the same way in which events fall within the first. You can never get rid of the contradiction, for, by the act of removing it from what is to be explained, you produce it over again in the explanation. And so the explanation is invalid. The same principle will place the third inside a fourth, and so on without end.",4.0,6.0,"{'software': {'name': 'GrammarBot', 'version': '4.3.1', 'apiVersion': 1, 'premium': False, 'premiumHint': ""You might be missing errors only the Premium version can find. Upgrade to see what you're missing."", 'status': ''}, 'warnings': {'incompleteResults': False}, 'language': {'name': 'English (US)', 'code': 'en-US', 'detectedLanguage': {'name': 'English (US)', 'code': 'en-US'}}, 'matches': [{'message': 'Put a space after the comma, but not before the comma', 'shortMessage': '', 'replacements': [{'value': ','}], 'offset': 47, 'length': 2, 'context': {'text': '... we avoid by asserting that m is present , has been future , and will be past?', 'offset': 43, 'length': 2}, 'sentence': 'What do we avoid by asserting that m is present , has been future , and will be past?', 'type': {'typeName': 'Other'}, 'rule': {'id': 'COMMA_PARENTHESIS_WHITESPACE', 'description': 'Use of whitespace before comma and before/after parentheses', 'issueType': 'whitespace', 'category': {'id': 'TYPOGRAPHY', 'name': 'Typography'}}}, {'message': 'Put a space after the comma, but not before the comma', 'shortMessage': '', 'replacements': [{'value': ','}], 'offset': 65, 'length': 2, 'context': {'text': '...ting that m is present , has been future , and will be past?', 'offset': 43, 'length': 2}, 'sentence': 'What do we avoid by asserting that m is present , has been future , and will be past?', 'type': {'typeName': 'Other'}, 'rule': {'id': 'COMMA_PARENTHESIS_WHITESPACE', 'description': 'Use of whitespace before comma and before/after parentheses', 'issueType': 'whitespace', 'category': {'id': 'TYPOGRAPHY', 'name': 'Typography'}}}]}","['TYPOGRAPHY', 'TYPOGRAPHY']",True,"[{'token': What, 'tag': 'WP'}]",,True,[],,False
491,Infinite Regress Arguments,stanford.library.sydney.edu.au/entries/infinite-regress/index.html,What is the way to see the world in terms of?,it means to see the world in terms of a set of rules that can be applied to a variety of situations.,"Coherentism: To resist an infinite regress by allowing a circular or holistic explanation of the \-ness of at least some \s.   Coherentism is a way of looking at the world through the eyes of a co-creator. It is also a way to look at the universe through the lens of the human mind. It means to see the world in terms of a set of rules that can be applied to a variety of situations. For more information, visit the website of the University of Wisconsin-Madison.",5.0,5.0,"{'software': {'name': 'GrammarBot', 'version': '4.3.1', 'apiVersion': 1, 'premium': False, 'premiumHint': ""You might be missing errors only the Premium version can find. Upgrade to see what you're missing."", 'status': ''}, 'warnings': {'incompleteResults': False}, 'language': {'name': 'English (US)', 'code': 'en-US', 'detectedLanguage': {'name': 'English (US)', 'code': 'en-US'}}, 'matches': []}",[],True,"[{'token': What, 'tag': 'WP'}]",,True,[],,False
492,Infinite Regress Arguments,stanford.library.sydney.edu.au/entries/infinite-regress/index.html,What would we do if we were to accept an infinite regress over the simpler one?,"just as we can justifiably accept the more complex hypothesis over the simpler one, we might accept an infinite regress because there is some virtue afforded by the theory that makes the cost worthwhile.","If Nolan and Cameron are right it at most gives us a pro tanto reason to reject a theory that leads to an ontological infinite regress. Just as we can justifiably accept the more complex hypothesis over the simpler one, we might accept an infinite regress because there is some virtue afforded by the theory that makes the cost worthwhile. Cameron argues that this would not give us any reason to think that infinite regresses are metaphysically impossible, at most it gives a reason to believe they are not actual.",7.0,7.0,"{'software': {'name': 'GrammarBot', 'version': '4.3.1', 'apiVersion': 1, 'premium': False, 'premiumHint': ""You might be missing errors only the Premium version can find. Upgrade to see what you're missing."", 'status': ''}, 'warnings': {'incompleteResults': False}, 'language': {'name': 'English (US)', 'code': 'en-US', 'detectedLanguage': {'name': 'English (US)', 'code': 'en-US'}}, 'matches': []}",[],True,"[{'token': What, 'tag': 'WP'}]",,True,[],,False
495,Infinite Regress Arguments,stanford.library.sydney.edu.au/entries/infinite-regress/index.html,What type of numbers are finite?,"after all, there is no independent reason to think that the domain of natural numbers is finite.","Peano’s axioms for arithmetic, e.g., yield an infinite regress. We are told that zero is a natural number, that every natural number has a natural numbers as a successor, and that if \ and \ are natural numbers with the same successor, then \. This yields an infinite regression. And this infinite regress entails that there are infinitely many things of a certain kind: natural numbers. But few have found this worrying. After all, there is no independent reason to think that the domain of natural numbers is finite.",3.0,3.0,"{'software': {'name': 'GrammarBot', 'version': '4.3.1', 'apiVersion': 1, 'premium': False, 'premiumHint': ""You might be missing errors only the Premium version can find. Upgrade to see what you're missing."", 'status': ''}, 'warnings': {'incompleteResults': False}, 'language': {'name': 'English (US)', 'code': 'en-US', 'detectedLanguage': {'name': 'English (US)', 'code': 'en-US'}}, 'matches': []}",[],True,"[{'token': What, 'tag': 'WDT'}]",,True,[],,False
496,Infinite Regress Arguments,stanford.library.sydney.edu.au/entries/infinite-regress/index.html,What does not get explained by reference to anything else?,"aristotle is a moral foundationalist: there is something whose goodness does not get explained by reference to anything else, by means of which the goodness of other things is accounted for.","Aristotle thought that some things were good because we desire them for the sake of something else that is good. But if everything that's good is good simply because it aims at something else is good, this would lead to a regress. And so Aristotle argues that there must be a Highest Good. Other things can be good in virtue of aiming towards this highest good. Aristotle is a Moral Foundationalist: there is something whose goodness does not get explained by reference to anything else, by means of which the goodness of other things is accounted for.",5.0,14.0,"{'software': {'name': 'GrammarBot', 'version': '4.3.1', 'apiVersion': 1, 'premium': False, 'premiumHint': ""You might be missing errors only the Premium version can find. Upgrade to see what you're missing."", 'status': ''}, 'warnings': {'incompleteResults': False}, 'language': {'name': 'English (US)', 'code': 'en-US', 'detectedLanguage': {'name': 'English (US)', 'code': 'en-US'}}, 'matches': []}",[],True,"[{'token': What, 'tag': 'WP'}]",,True,[],,False
499,Infinite Regress Arguments,stanford.library.sydney.edu.au/entries/infinite-regress/index.html,What kind of regressions does the regress have?,"in section 4, we consider the possibility that the existence of an infinite regress can be explained by the fact that it appeals to an infinite number of other infinite regressions.","In section 3 we considered the suggestion that if the explanation of the \-ness of each \ appeals to another \ that is \, and so on ad infinitum, then something is left unexplained: why there are things that are \ at all. But arguably, not every infinite regress leaves even this global fact unexplained.   In section 4, we consider the possibility that the existence of an infinite regress can be explained by the fact that it appeals to an infinite number of other infinite regressions.",8.0,1.0,"{'software': {'name': 'GrammarBot', 'version': '4.3.1', 'apiVersion': 1, 'premium': False, 'premiumHint': ""You might be missing errors only the Premium version can find. Upgrade to see what you're missing."", 'status': ''}, 'warnings': {'incompleteResults': False}, 'language': {'name': 'English (US)', 'code': 'en-US', 'detectedLanguage': {'name': 'English (US)', 'code': 'en-US'}}, 'matches': []}",[],True,"[{'token': What, 'tag': 'WDT'}]",,True,[],,False
500,Infinite Regress Arguments,stanford.library.sydney.edu.au/entries/infinite-regress/index.html,What kind of regressions does the regress have?,"in section 4, we consider the possibility that the existence of an infinite regress can be explained by the fact that it appeals to an infinite number of other infinite regressions.","In section 3 we considered the suggestion that if the explanation of the \-ness of each \ appeals to another \ that is \, and so on ad infinitum, then something is left unexplained: why there are things that are \ at all. But arguably, not every infinite regress leaves even this global fact unexplained.   In section 4, we consider the possibility that the existence of an infinite regress can be explained by the fact that it appeals to an infinite number of other infinite regressions.",8.0,1.0,"{'software': {'name': 'GrammarBot', 'version': '4.3.1', 'apiVersion': 1, 'premium': False, 'premiumHint': ""You might be missing errors only the Premium version can find. Upgrade to see what you're missing."", 'status': ''}, 'warnings': {'incompleteResults': False}, 'language': {'name': 'English (US)', 'code': 'en-US', 'detectedLanguage': {'name': 'English (US)', 'code': 'en-US'}}, 'matches': []}",[],True,"[{'token': What, 'tag': 'WDT'}]",,True,[],,False
502,Infinite Regress Arguments,stanford.library.sydney.edu.au/entries/infinite-regress/index.html,What is measured along the first time dimension?,"that is, we are postulating a second timescale with respect to which the flow of events along the first time dimension is measured.","If time is a flowing river we must think of events taking time to float down this stream, and if we say ‘time has flowed faster today than yesterday’ we are saying that the stream flowed a greater distance today than it did in the same time yesterday. That is, we are postulating a second timescale with respect to which the flow of events along the first time dimension is measured. And so we can go on indefinitely postulating fresh streams without being any better satisfied.",9.0,3.0,"{'software': {'name': 'GrammarBot', 'version': '4.3.1', 'apiVersion': 1, 'premium': False, 'premiumHint': ""You might be missing errors only the Premium version can find. Upgrade to see what you're missing."", 'status': ''}, 'warnings': {'incompleteResults': False}, 'language': {'name': 'English (US)', 'code': 'en-US', 'detectedLanguage': {'name': 'English (US)', 'code': 'en-US'}}, 'matches': []}",[],True,"[{'token': What, 'tag': 'WP'}]",,True,"[{'text': 'first', 'label': 'ORDINAL'}]",,True
503,Infinite Regress Arguments,stanford.library.sydney.edu.au/entries/infinite-regress/index.html,What is the flow of events along the first time dimension?,"that is, we are postulating a second timescale with respect to which the flow of events along the first time dimension is measured.","If time is a flowing river we must think of events taking time to float down this stream, and if we say ‘time has flowed faster today than yesterday’ we are saying that the stream flowed a greater distance today than it did in the same time yesterday. That is, we are postulating a second timescale with respect to which the flow of events along the first time dimension is measured. And so we can go on indefinitely postulating fresh streams without being any better satisfied.",9.0,3.0,"{'software': {'name': 'GrammarBot', 'version': '4.3.1', 'apiVersion': 1, 'premium': False, 'premiumHint': ""You might be missing errors only the Premium version can find. Upgrade to see what you're missing."", 'status': ''}, 'warnings': {'incompleteResults': False}, 'language': {'name': 'English (US)', 'code': 'en-US', 'detectedLanguage': {'name': 'English (US)', 'code': 'en-US'}}, 'matches': []}",[],True,"[{'token': What, 'tag': 'WP'}]",,True,"[{'text': 'first', 'label': 'ORDINAL'}]",,True
504,Infinite Regress Arguments,stanford.library.sydney.edu.au/entries/infinite-regress/index.html,What type of failure characteristic does a vicious infinite regress have?,"even at infinity, we are still invoking things that exist in order to explain how anything exists at all… we encounter, at each level, the explanatory failure characteristic of a vicious infinite regress.","Even at infinity, we are still invoking things that exist in order to explain how anything exists at all… We encounter, at each level, the explanatory failure characteristic of a vicious infinite regress. Whether or not a regress of grounds is vicious, therefore, will depend upon the question for which we are seeking an answer. The existence of \ may explain the existence of  but it cannot help us explain where being comes from.   The regress is not benign, however, if what we're seeking an explanation for is how anything exist, or has being, at all.",6.0,8.0,"{'software': {'name': 'GrammarBot', 'version': '4.3.1', 'apiVersion': 1, 'premium': False, 'premiumHint': ""You might be missing errors only the Premium version can find. Upgrade to see what you're missing."", 'status': ''}, 'warnings': {'incompleteResults': False}, 'language': {'name': 'English (US)', 'code': 'en-US', 'detectedLanguage': {'name': 'English (US)', 'code': 'en-US'}}, 'matches': []}",[],True,"[{'token': What, 'tag': 'WDT'}]",,True,[],,False
510,Infinite Regress Arguments,stanford.library.sydney.edu.au/entries/infinite-regress/index.html,"According to Hume , what must be the first cause of all else?",thus he concludes that there must be a first cause of all else that is itself uncaused.,"Metaphysicians have wanted to account for the very existence, or nature, of some things by appealing to things on which they ontologically depend. Some have been suspicious of the idea that this can go on ad infinitum, and thus have argued for Metaphysical Foundationalism. Aquinas, e.g., holds that events are ontologically dependent on their causes, and that an infinite regress of causes and effects would be an infinite series of things each of which is  dependent on the next. Thus he concludes that there must be a first cause of all else that is itself uncaused.",5.0,8.0,"{'software': {'name': 'GrammarBot', 'version': '4.3.1', 'apiVersion': 1, 'premium': False, 'premiumHint': ""You might be missing errors only the Premium version can find. Upgrade to see what you're missing."", 'status': ''}, 'warnings': {'incompleteResults': False}, 'language': {'name': 'English (US)', 'code': 'en-US', 'detectedLanguage': {'name': 'English (US)', 'code': 'en-US'}}, 'matches': [{'message': 'Put a space after the comma, but not before the comma', 'shortMessage': '', 'replacements': [{'value': ','}], 'offset': 17, 'length': 2, 'context': {'text': 'According to Hume , what must be the first cause of all els...', 'offset': 17, 'length': 2}, 'sentence': 'According to Hume , what must be the first cause of all else?', 'type': {'typeName': 'Other'}, 'rule': {'id': 'COMMA_PARENTHESIS_WHITESPACE', 'description': 'Use of whitespace before comma and before/after parentheses', 'issueType': 'whitespace', 'category': {'id': 'TYPOGRAPHY', 'name': 'Typography'}}}]}",['TYPOGRAPHY'],True,"[{'token': what, 'tag': 'WP'}]",,True,"[{'text': 'Hume', 'label': 'ORG'}, {'text': 'first', 'label': 'ORDINAL'}]",,True
513,Infinite Regress Arguments,stanford.library.sydney.edu.au/entries/infinite-regress/index.html,What kind of domain is the domain of \ s?,"whether that is a vice may depend on what kind \ is, and whether we have independent reason to think that the domain of \s is a finite one.","While the numbers regress and the events regress are structurally analogous, we might find the principles that yield the regress objectionable in one case but not the other. Whether that is a vice may depend on what kind \ is, and whether we have independent reason to think that the domain of \s is a finite one. Yielding infinitely many things of kind \ might be a local vice when the kind in question is events separated in time, but not when the kinds are structured by the successor relation.",3.0,7.0,"{'software': {'name': 'GrammarBot', 'version': '4.3.1', 'apiVersion': 1, 'premium': False, 'premiumHint': ""You might be missing errors only the Premium version can find. Upgrade to see what you're missing."", 'status': ''}, 'warnings': {'incompleteResults': False}, 'language': {'name': 'English (US)', 'code': 'en-US', 'detectedLanguage': {'name': 'English (US)', 'code': 'en-US'}}, 'matches': []}",[],True,"[{'token': What, 'tag': 'WDT'}]",,True,[],,False
514,Infinite Regress Arguments,stanford.library.sydney.edu.au/entries/infinite-regress/index.html,What may a vice depend on whether it is a vice?,"whether that is a vice may depend on what kind \ is, and whether we have independent reason to think that the domain of \s is a finite one.","While the numbers regress and the events regress are structurally analogous, we might find the principles that yield the regress objectionable in one case but not the other. Whether that is a vice may depend on what kind \ is, and whether we have independent reason to think that the domain of \s is a finite one. Yielding infinitely many things of kind \ might be a local vice when the kind in question is events separated in time, but not when the kinds are structured by the successor relation.",3.0,7.0,"{'software': {'name': 'GrammarBot', 'version': '4.3.1', 'apiVersion': 1, 'premium': False, 'premiumHint': ""You might be missing errors only the Premium version can find. Upgrade to see what you're missing."", 'status': ''}, 'warnings': {'incompleteResults': False}, 'language': {'name': 'English (US)', 'code': 'en-US', 'detectedLanguage': {'name': 'English (US)', 'code': 'en-US'}}, 'matches': []}",[],True,"[{'token': What, 'tag': 'WP'}]",,True,[],,False
515,Infinite Regress Arguments,stanford.library.sydney.edu.au/entries/infinite-regress/index.html,What did we do in section 3?,"in section 3 we considered the suggestion that if the explanation of the \-ness of each \ appeals to another \ that is \, and so on ad infinitum, then something is left unexplained: why there are things that are \ at all.","In section 3 we considered the suggestion that if the explanation of the \-ness of each \ appeals to another \ that is \, and so on ad infinitum, then something is left unexplained: why there are things that are \ at all. But arguably, not every infinite regress leaves even this global fact unexplained.   In section 4, we consider the possibility that the existence of an infinite regress can be explained by the fact that it appeals to an infinite number of other infinite regressions.",8.0,1.0,"{'software': {'name': 'GrammarBot', 'version': '4.3.1', 'apiVersion': 1, 'premium': False, 'premiumHint': ""You might be missing errors only the Premium version can find. Upgrade to see what you're missing."", 'status': ''}, 'warnings': {'incompleteResults': False}, 'language': {'name': 'English (US)', 'code': 'en-US', 'detectedLanguage': {'name': 'English (US)', 'code': 'en-US'}}, 'matches': []}",[],True,"[{'token': What, 'tag': 'WP'}]",,True,"[{'text': '3', 'label': 'CARDINAL'}]",,True
516,Infinite Regress Arguments,stanford.library.sydney.edu.au/entries/infinite-regress/index.html,What do two theories generate that are not objectionable?,"in the previous section we saw two theories generating similar regresses, but where one is found unobjectionable whereas the other is found objectionable due to the different things we think we know.","In the previous section we saw two theories generating similar regresses, but where one is found unobjectionable whereas the other is found objectionable due to the different things we think we know. We could also have cases where a single theory yields a regress that is objectionable by the lights of one theorist and not another, as a result of their differing theoretical commitments leading one but not the other to think that a feature revealed by the regress is a vice. In the next section we will look at the different arguments that can be made for and against different theories.",4.0,1.0,"{'software': {'name': 'GrammarBot', 'version': '4.3.1', 'apiVersion': 1, 'premium': False, 'premiumHint': ""You might be missing errors only the Premium version can find. Upgrade to see what you're missing."", 'status': ''}, 'warnings': {'incompleteResults': False}, 'language': {'name': 'English (US)', 'code': 'en-US', 'detectedLanguage': {'name': 'English (US)', 'code': 'en-US'}}, 'matches': []}",[],True,"[{'token': What, 'tag': 'WP'}, {'token': that, 'tag': 'WDT'}]",,False,"[{'text': 'two', 'label': 'CARDINAL'}]",,True
518,Infinite Regress Arguments,stanford.library.sydney.edu.au/entries/infinite-regress/index.html,"If the chain of dependence doesn't terminate , what would the whole process never get off?","so if this chain of dependence does not terminate, the whole process couldn’t get off the ground, and there would be nothing at all.","Leibniz’s idea seems to be that if each thing depends on some other, there could not be anything at all in the first place. The thought is that ontologically dependent entities inherit their existence, or being, from that on which they depend. So if this chain of dependence does not terminate, the whole process couldn’t get off the ground, and there would be nothing at all. Leibnz says : ‘If this chain of dependency does not terminate, the whole process could not get off the ground and there would be nothing at all’",5.0,21.0,"{'software': {'name': 'GrammarBot', 'version': '4.3.1', 'apiVersion': 1, 'premium': False, 'premiumHint': ""You might be missing errors only the Premium version can find. Upgrade to see what you're missing."", 'status': ''}, 'warnings': {'incompleteResults': False}, 'language': {'name': 'English (US)', 'code': 'en-US', 'detectedLanguage': {'name': 'English (US)', 'code': 'en-US'}}, 'matches': [{'message': 'Put a space after the comma, but not before the comma', 'shortMessage': '', 'replacements': [{'value': ','}], 'offset': 44, 'length': 2, 'context': {'text': ""...he chain of dependence doesn't terminate , what would the whole process never get ..."", 'offset': 43, 'length': 2}, 'sentence': ""If the chain of dependence doesn't terminate , what would the whole process never get off?"", 'type': {'typeName': 'Other'}, 'rule': {'id': 'COMMA_PARENTHESIS_WHITESPACE', 'description': 'Use of whitespace before comma and before/after parentheses', 'issueType': 'whitespace', 'category': {'id': 'TYPOGRAPHY', 'name': 'Typography'}}}]}",['TYPOGRAPHY'],True,"[{'token': what, 'tag': 'WP'}]",,True,[],,False
